S.No:  :RequestDate:  :ActionType:: ID:: noOfScan:: : totalScans :
S.No: 122RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 187.50
S.No: 123RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 188.50
S.No: 124RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 189.50
S.No: 125RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 190.50
S.No: 126RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 191.50
S.No: 127RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 192.50
S.No: 128RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 193.50
S.No: 129RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 194.50
S.No: 130RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 195.50
S.No: 131RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 196.50
S.No: 132RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 197.50
S.No: 133RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 198.50
S.No: 134RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 199.50
S.No: 135RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 200.50
S.No: 136RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 201.50
S.No: 137RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX_SAPT, noOfScan:1 *** 202.50
